"channels","conversions"
"Facebook Installs,Adwords UAC Installs,Off-Facebook Installs,Branch","0"
"Off-Facebook Installs","1942"
"Leadbolt,Facebook Installs,AppNext","0"
"Leadbolt,Off-Facebook Installs,Instagram Installs","0"
"Adwords UAC Installs,Branch,Facebook Installs","6"
"Adwords UAC Installs,Off-Facebook Installs","12"
"Facebook Messenger Installs,Off-Facebook Installs,Branch","0"
"Off-Facebook Installs,Facebook Installs,Organic,Branch","0"
"Facebook Installs,Organic,Branch","40"
"Instagram Installs,Off-Facebook Installs,Facebook Installs","0"
"Facebook Installs,Instagram Installs,Organic","7"
"AppNext,Off-Facebook Installs,Branch,Leadbolt","0"
"Organic,Instagram Installs","29"
"Off-Facebook Installs,Leadbolt","1"
"Organic,Instagram Installs,Facebook Installs","10"
"Facebook Messenger Installs,Instagram Installs,Branch","0"
"Facebook Messenger Installs,Instagram Installs,Facebook Installs","1"
"Facebook Installs","15996"
"Branch,Organic,Leadbolt","0"
"Facebook Messenger Installs,Adwords UAC Installs","0"
"Adwords UAC Installs,Branch,Instagram Installs","1"
"Facebook Installs,Branch,AppNext","6"
"Branch,Facebook Messenger Installs","81"
"AppNext,Branch,Organic","0"
"Branch","35765"
"Facebook Installs,Organic","521"
"Instagram Installs,Facebook Installs","84"
"Instagram Installs,Branch,Leadbolt","0"
"Adwords UAC Installs,Facebook Installs","37"
"Facebook Installs,Instagram Installs,Leadbolt","0"
"Instagram Installs,Adwords UAC Installs,Branch","0"
"Instagram Installs,Off-Facebook Installs,Branch,Facebook Installs,Organic","1"
"Facebook Installs,Instagram Installs,Branch","62"
"Branch,Facebook Installs,Off-Facebook Installs","78"
"AppNext,Off-Facebook Installs","13"
"Facebook Installs,Off-Facebook Installs,Instagram Installs","0"
"Off-Facebook Installs,Branch,Leadbolt","2"
